0	1		      1
0.1	1.75395		1.75395
0.2	2.3312		2.3312
0.3	2.75395		2.75395
0.4	3.0432		3.0432
0.5	3.21875		3.21875
0.6	3.2992		3.2992
0.7	3.30195		3.30195
0.8	3.2432		3.2432
0.9	3.13795		3.13795
1	3		      3
1.1	2.84195		2.84195
1.2	2.6752		2.6752
1.3	2.50995		2.50995
1.4	2.3552		2.3552
1.5	2.21875		2.21875
1.6	2.1072		2.1072
1.7	2.02595		2.02595
1.8	1.9792		1.9792
1.9	1.96995		1.96995
2	2		      2
2.1	2.06995		2.06995
2.2	2.1792		2.1792
2.3	2.32595		2.32595
2.4	2.5072		2.5072
2.5	2.71875		2.71875
2.6	2.9552		2.9552
2.7	3.20995		3.20995
2.8	3.4752		3.4752
2.9	3.74195		3.74195
3	4		      4
3.1	4.23795		4.23795
3.2	4.4432		4.4432
3.3	4.60195		4.60195
3.4	4.6992		4.6992
3.5	4.71875		4.71875
3.6	4.6432		4.6432
3.7	4.45395		4.45396
3.8	4.13121		4.13121
3.9	3.65396		3.65396
4	3.00001		3.00001
